model,strategy,train_s,pr_auc,roc_auc,threshold,precision,recall,f1,mcc,tp,fp,fn,tn,spw
random_forest,smote_enn,214.9,0.7947492420046283,0.9706551621568026,0.718056,0.975,0.75,0.8478260869565217,0.8549846336800033,39,1,13,42669,
random_forest,optuna_smote_enn,214.4,0.79362894298057,0.9735415802851942,0.703911,0.951219512195122,0.75,0.8387096774193549,0.8444771308966321,39,2,13,42668,
random_forest,smote,105.9,0.7904806063078802,0.9657836977880334,0.652222,0.975,0.75,0.8478260869565217,0.8549846336800033,39,1,13,42669,
rf+mlp+lstm,stack_avg,,0.785000464114111,0.9844997196273476,0.73659,0.9743589743589745,0.7307692307692307,0.8351648351648352,0.8436640303823698,38,1,14,42662,
random_forest,class_weight,27.0,0.7836473139703317,0.9444863081610212,0.339606,0.8297872340425532,0.75,0.7878787878787878,0.7886421486905196,39,8,13,42662,
catboost,gan,8.1,0.7825239205767008,0.971802383227272,0.947406,0.975,0.75,0.8478260869565217,0.8549846336800033,39,1,13,42669,
random_forest,optuna,24.6,0.7824041140754835,0.9508344450253284,0.348744,0.8297872340425532,0.75,0.7878787878787878,0.7886421486905196,39,8,13,42662,
bilstm,class_weight,10.9,0.7811239429967135,0.9802603228522644,0.9909,0.951219512195122,0.75,0.8387096774193549,0.8444771043817199,39,2,13,42661,518.2
lstm,class_weight,24.3,0.779860522732354,0.9707033116427674,0.997185,0.9487179487179488,0.7115384615384616,0.8131868131868132,0.8214345717305164,37,2,15,42661,518.2
xgboost,smote_enn,132.8,0.7766128274300323,0.9731844116745688,0.992504,0.8863636363636364,0.75,0.8125,0.8151321643758136,39,5,13,42665,
dnn,raw,33.6,0.7752427269973887,0.9765021362513745,0.118073,0.9047619047619048,0.7307692307692307,0.8085106382978723,0.812925376879446,38,4,14,42666,
lightgbm,gan,7.5,0.7751634295721025,0.9812338879775018,0.990921,0.9736842105263158,0.7115384615384616,0.8222222222222222,0.8321904264162567,37,1,15,42669,
lstm_ensemble,mean5,113.7,0.775013743372359,0.983965118396593,0.995033,1.0,0.7115384615384616,0.8314606741573034,0.8433791423355154,37,0,15,42663,
mlp,raw,46.4,0.7746214999320733,0.9710853418903572,0.549308,0.972972972972973,0.6923076923076923,0.8089887640449438,0.8205573570626286,36,1,16,42669,
lightgbm,smote,10.5,0.7704637598548838,0.9634633412053144,0.997997,1.0,0.7115384615384616,0.8314606741573034,0.843379166649463,37,0,15,42670,
xgboost,smote,3.0,0.7704344713567879,0.9602035297723134,0.983576,0.9047619047619048,0.7307692307692307,0.8085106382978723,0.812925376879446,38,4,14,42666,
xgboost,gan,3.0,0.7694203708945899,0.9793045014512088,0.955828,0.9736842105263158,0.7115384615384616,0.8222222222222222,0.8321904264162567,37,1,15,42669,
xgboost,class_weight,10.3,0.7688121023720789,0.9823732220439508,0.871756,0.9473684210526316,0.6923076923076923,0.8,0.8096706420078524,36,2,16,42668,16.0
xgboost,optuna,2.6,0.7684861582399306,0.976460673144526,0.838165,0.9285714285714286,0.75,0.8297872340425532,0.8343469683106631,39,3,13,42667,73.5
random_forest,rus,0.5,0.7678130692731417,0.9808697337347444,0.819556,0.7647058823529411,0.75,0.7572815533980582,0.7570244040292399,39,12,13,42658,
