model,strategy,spw,train_s,pr_auc,roc_auc,threshold,precision,recall,f1,mcc,tp,fp,fn,tn,split
random_forest,smote_enn,,177.2,0.794749242004628,0.9706551621568027,0.718056,0.975,0.75,0.8478260869565217,0.8549846336800033,39,1,13,42669,time
xgboost,smote_enn,,99.2,0.7766128274300323,0.9731844116745687,0.992504,0.8863636363636364,0.75,0.8125,0.8151321643758136,39,5,13,42665,time
catboost,gan,,6.5,0.780358171538974,0.9707513836058482,0.83336,0.975,0.75,0.8478260869565217,0.8549846336800033,39,1,13,42669,time
mlp,raw,,31.4,0.7793822845240742,0.9735641145823944,0.323899,0.9736842105263158,0.7115384615384616,0.8222222222222222,0.8321904264162567,37,1,15,42669,time
lstm,class_weight,,17.6,0.7803092662733903,0.9751027281791644,0.997136,0.925,0.7115384615384616,0.8043478260869565,0.8110844318533558,37,3,15,42660,time
graphsage,class_weight,,,0.7389176150905826,0.9210254006598042,0.84015,0.9024390243902439,0.7115384615384616,0.7956989247311828,0.8011151257522823,37,4,15,42666,time
random_forest,smote_enn,,184.9,0.8119951311348349,0.9587731372340264,0.410444,0.8289473684210527,0.8513513513513513,0.84,0.8397935848131511,63,13,11,42635,random
xgboost,smote_enn,,131.5,0.8103605415004687,0.9738262812615655,0.995267,0.9322033898305084,0.7432432432432432,0.8270676691729323,0.8321270794283987,55,4,19,42644,random
catboost,gan,,5.5,0.8398525600417102,0.9610219040086795,0.830697,0.9818181818181818,0.7297297297297297,0.8372093023255814,0.8462250574634217,54,1,20,42647,random
mlp,raw,,61.9,0.8266895736039932,0.9795101446409831,0.768419,0.9473684210526315,0.7297297297297297,0.8244274809160306,0.8312124996974547,54,3,20,42645,random
lstm,class_weight,,17.9,0.7964842771511649,0.963373342621015,0.997959,0.9152542372881356,0.7297297297297297,0.8120300751879699,0.816969286402581,54,5,20,42636,random
graphsage,class_weight,,,0.6948114224264625,0.9528551131322657,0.967581,0.9272727272727272,0.6891891891891891,0.7906976744186046,0.7991294679917788,51,4,23,42644,random
